State,Abbreviation,Region
Alabama,AL,South Central
Alaska,AK,
Arizona,AZ,Mountain
Arkansas,AR,South Central
California,CA,Pacific
Colorado,CO,Mountain
Connecticut,CT,East
Delaware,DE,East
District of Columbia,DC,East
Florida,FL,East
Georgia,GA,East
Hawaii,HI,
Idaho,ID,Mountain
Illinois,IL,Midwest
Indiana,IN,Midwest
Iowa,IA,Midwest
Kansas,KS,South Central
Kentucky,KY,Midwest
Louisiana,LA,South Central
Maine,ME,East
Montana,MT,Mountain
Nebraska,NE,Mountain
Nevada,NV,Mountain
New Hampshire,NH,East
New Jersey,NJ,East
New Mexico,NM,Mountain
New York,NY,East
North Carolina,NC,East
North Dakota,ND,Mountain
Ohio,OH,East
Oklahoma,OK,South Central
Oregon,OR,Pacific
Maryland,MD,East
Massachusetts,MA,East
Michigan,MI,Midwest
Minnesota,MN,Midwest
Mississippi,MS,South Central
Missouri,MO,Midwest
Pennsylvania,PA,East
Rhode Island,RI,East
South Carolina,SC,East
South Dakota,SD,Mountain
Tennessee,TN,Midwest
Texas,TX,South Central
Utah,UT,Mountain
Vermont,VT,East
Virginia,VA,East
Washington,WA,Pacific
West Virginia,WV,East
Wisconsin,WI,Midwest
Wyoming,WY,Mountain
